keyword|datatype|description|unit
DRPTAGL2|string|Git version number of KPF-Pipeline used to make L2|None
DRPHSHL2|string|Git commit hash version of KPF-Pipeline used to make L2|None
DATAPRL2|bool|QC: L2 data present|None
TIMCHKL2|bool|QC: Consistent times in L2 file|None
CCFRV|float|Average of CCD1RV and CCD2RV using weights from RV table|km/s
CCFERV|float|Error on CCFRV|km/s
CCFRVC|float|Average of CCD1RVC and CCD2RVC using weights from RV table|km/s
CCFERVC|float|Error on CCFRVC|km/s
CCFBCV|float|Weighted average (over orders) of barycentric RVs|km/s
CCFBJD|float|Weighted average (over orders) of BJD times|days
BJDSTD|float|Weighted stddev (over orders) of BJD times|sec    
BJDRNG|float|Range(BJD) for non-zero-weight spectral orders|sec    
BCVSTD|float|Weighted stddev (over orders) of BCV|m/s
BCVRNG|float|Range(BCV) for non-zero-weight spectral orders|m/s
MAXPCBCV|float|Maximum percent change from CCFBCV for non-zero-weight orders|None
MINPCBCV|float|Minimum percent change from CCFBCV for non-zero-weight orders|None
DRFTOBS|string|ObsID of 1st reference drift observation|None
DRFTOBS2|string|ObsID of 2nd reference drift observation|None
DRFTDEL|float|Time to 1st drift correction observation|hours
DRFTDEL2|float|Time to 2nd drift correction observation|hours
DRFTCOR|bool|Drift correction applied (true/false)|None
DRFTRV|float|Drift correction RV|m/s
DRFTMETH|Drift correction method name|None
